title:White Rice's Wishlist



//double perks
dimwishlist:item=4248569242&perks=3523296417,469285294#notes:Reconstruction,Demolitionist | Recombination
dimwishlist:item=3753063346&perks=3993379141,1546637391#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=1164602481,3751912585#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=1164602481,4293542123#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=1164602481,1546637391#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3017780555,3300816228#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3017780555,3993379141#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3017780555,1164602481#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3300816228,3017780555#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3300816228,3993379141#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3300816228,1164602481#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3993379141,3017780555#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3993379141,3300816228#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3993379141,1164602481#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=1164602481,3017780555#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=1164602481,3300816228#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=1164602481,3993379141#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3751912585,4293542123#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3751912585,1546637391#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=4293542123,3751912585#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=4293542123,1546637391#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=1546637391,3751912585#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=1546637391,4293542123#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=2185327324&perks=968510818,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2185327324&perks=968510818,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2185327324&perks=968510818,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2185327324&perks=3078487919,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2185327324&perks=3078487919,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2185327324&perks=3751912585,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2185327324&perks=3751912585,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2185327324&perks=555281244,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2185327324&perks=555281244,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2653171212&perks=968510818,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2653171212&perks=968510818,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2653171212&perks=968510818,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2653171212&perks=3078487919,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2653171212&perks=3078487919,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2653171212&perks=3751912585,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2653171212&perks=3751912585,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2653171212&perks=555281244,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2653171212&perks=555281244,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=51129316&perks=968510818,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=51129316&perks=968510818,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=51129316&perks=968510818,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=51129316&perks=3078487919,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=51129316&perks=3078487919,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=51129316&perks=3751912585,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=51129316&perks=3751912585,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=51129316&perks=555281244,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=51129316&perks=555281244,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2330860573&perks=968510818,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2330860573&perks=968510818,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2330860573&perks=968510818,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2330860573&perks=3078487919,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2330860573&perks=3078487919,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2330860573&perks=3751912585,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2330860573&perks=3751912585,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2330860573&perks=555281244,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2330860573&perks=555281244,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2307365&perks=968510818,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2307365&perks=968510818,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2307365&perks=968510818,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2307365&perks=3078487919,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2307365&perks=3078487919,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2307365&perks=3751912585,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2307365&perks=3751912585,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2307365&perks=555281244,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=2307365&perks=555281244,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=825554997&perks=968510818,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=825554997&perks=968510818,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=825554997&perks=968510818,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=825554997&perks=3078487919,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=825554997&perks=3078487919,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=825554997&perks=3751912585,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=825554997&perks=3751912585,555281244#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=825554997&perks=555281244,3078487919#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=825554997&perks=555281244,3751912585#notes:Envious Assassin | Bait and Switch,Cascade Point,Precision Instrument
dimwishlist:item=3360937899&perks=3201496230,3078487919#notes:Redirection,Envious Arsenal | Elemental Honing,Bait and Switch,Vorpal Weapon
dimwishlist:item=3360937899&perks=3201496230,1089671869#notes:Redirection,Envious Arsenal | Elemental Honing,Bait and Switch,Vorpal Weapon
dimwishlist:item=3360937899&perks=3201496230,1546637391#notes:Redirection,Envious Arsenal | Elemental Honing,Bait and Switch,Vorpal Weapon
dimwishlist:item=3360937899&perks=3987942396,3078487919#notes:Redirection,Envious Arsenal | Elemental Honing,Bait and Switch,Vorpal Weapon
dimwishlist:item=3360937899&perks=3987942396,1089671869#notes:Redirection,Envious Arsenal | Elemental Honing,Bait and Switch,Vorpal Weapon
dimwishlist:item=3360937899&perks=3987942396,1546637391#notes:Redirection,Envious Arsenal | Elemental Honing,Bait and Switch,Vorpal Weapon
dimwishlist:item=3360937899&perks=3201496230,3987942396#notes:Redirection,Envious Arsenal | Elemental Honing,Bait and Switch,Vorpal Weapon
dimwishlist:item=3360937899&perks=3987942396,3201496230#notes:Redirection,Envious Arsenal | Elemental Honing,Bait and Switch,Vorpal Weapon
dimwishlist:item=3360937899&perks=3078487919,1089671869#notes:Redirection,Envious Arsenal | Elemental Honing,Bait and Switch,Vorpal Weapon
dimwishlist:item=3360937899&perks=3078487919,1546637391#notes:Redirection,Envious Arsenal | Elemental Honing,Bait and Switch,Vorpal Weapon
dimwishlist:item=3360937899&perks=1089671869,3078487919#notes:Redirection,Envious Arsenal | Elemental Honing,Bait and Switch,Vorpal Weapon
dimwishlist:item=3360937899&perks=1089671869,1546637391#notes:Redirection,Envious Arsenal | Elemental Honing,Bait and Switch,Vorpal Weapon
dimwishlist:item=3360937899&perks=1546637391,3078487919#notes:Redirection,Envious Arsenal | Elemental Honing,Bait and Switch,Vorpal Weapon
dimwishlist:item=3360937899&perks=1546637391,1089671869#notes:Redirection,Envious Arsenal | Elemental Honing,Bait and Switch,Vorpal Weapon
dimwishlist:item=2248667690&perks=2869569095,2360754333#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=2869569095,2679249093#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=2869569095,1546637391#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=3960499187,2360754333#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=3960499187,2679249093#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=3960499187,1546637391#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=4071163871,2360754333#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=4071163871,2679249093#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=4071163871,1546637391#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=691659142,2360754333#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=691659142,2679249093#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=691659142,1546637391#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=777589559,2360754333#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=777589559,2679249093#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=777589559,1546637391#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=2869569095,3960499187#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=2869569095,4071163871#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=2869569095,691659142#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=2869569095,777589559#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=3960499187,2869569095#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=3960499187,4071163871#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=3960499187,691659142#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=3960499187,777589559#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=4071163871,2869569095#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=4071163871,3960499187#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=4071163871,691659142#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=4071163871,777589559#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=691659142,2869569095#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=691659142,3960499187#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=691659142,4071163871#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=691659142,777589559#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=777589559,2869569095#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=777589559,3960499187#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=777589559,4071163871#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=777589559,691659142#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=2360754333,2679249093#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=2360754333,1546637391#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=2679249093,2360754333#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=2679249093,1546637391#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=1546637391,2360754333#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=2248667690&perks=1546637391,2679249093#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=2869569095,2360754333#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=2869569095,2679249093#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=2869569095,1546637391#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=3960499187,2360754333#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=3960499187,2679249093#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=3960499187,1546637391#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=4071163871,2360754333#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=4071163871,2679249093#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=4071163871,1546637391#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=691659142,2360754333#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=691659142,2679249093#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=691659142,1546637391#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=777589559,2360754333#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=777589559,2679249093#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=777589559,1546637391#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=2869569095,3960499187#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=2869569095,4071163871#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=2869569095,691659142#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=2869569095,777589559#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=3960499187,2869569095#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=3960499187,4071163871#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=3960499187,691659142#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=3960499187,777589559#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=4071163871,2869569095#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=4071163871,3960499187#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=4071163871,691659142#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=4071163871,777589559#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=691659142,2869569095#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=691659142,3960499187#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=691659142,4071163871#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=691659142,777589559#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=777589559,2869569095#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=777589559,3960499187#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=777589559,4071163871#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=777589559,691659142#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=2360754333,2679249093#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=2360754333,1546637391#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=2679249093,2360754333#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
dimwishlist:item=3393519051&perks=2679249093,1546637391#notes:Field Prep,Pugilist,Threat Detector | One-Two Punch,Trench Barrel,Vorpal Weapon
